whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A078BTL9	1	1	0	0	0	0	0	0	0	0	0
A0A078BTM3	1	1	0	0	0	0	0	0	0	1	0
A0A078BTM6	1	1	0	0	0	0	0	0	0	0	0
A0A078BTN1	1	1	0	0	0	0	0	0	0	0	0
A0A078BTN3	1	1	0	0	0	0	0	0	0	1	0
A0A078BTQ8	1	1	0	0	0	0	0	0	0	1	0
A0A078BTR2	1	1	0	0	0	0	0	0	0	1	0
A0A0B7H2U2	1	1	0	0	0	0	0	0	0	1	0
A0A0B7H3M6	1	1	0	0	0	0	0	0	0	1	0
A0A0D3RB17	1	0	0	0	0	0	0	0	0	1	0
A0A0D3RB50	1	0	0	0	0	0	0	0	0	1	0
A0A0D3RBC1	1	0	0	0	0	0	0	0	0	1	0
A0A0D3RBM5	1	0	0	0	0	0	0	0	0	1	0
A0A0F6YQF6	1	1	0	0	0	0	0	0	0	0	0
A0A0H3W5B8	1	0	0	0	0	0	0	0	0	1	0
A0A0H3W5N0	1	0	0	0	0	0	0	0	0	1	0
A0A0K2WN06	1	1	0	0	0	0	0	0	0	1	0
A0A0K2WN07	1	1	0	0	0	0	0	0	0	1	0
A0A0K2WNK1	1	1	0	0	0	0	0	0	0	1	0
A0A0K2WPR7	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQM0	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQM5	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQN0	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQN5	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQN9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQP4	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQP8	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQQ6	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQR2	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQR5	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQS0	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AQS4	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQS9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQT4	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQT9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQU4	1	1	0	0	0	0	0	0	0	0	0
