whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A178U5Y0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Y1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Y2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Y7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Z0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Z1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Z3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Z4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U5Z9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U600	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U603	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U604	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U605	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U606	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U609	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U611	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U612	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U613	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U614	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U618	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U620	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U621	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U622	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U623	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U624	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U626	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U628	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U630	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U632	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U633	1	0	0	0	0	0	0	0	0	0	0	1	0
