whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A075B5Y3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5Y4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Y9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Z9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B601	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B603	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B604	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B605	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B606	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B607	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B608	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B612	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B614	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B615	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B616	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B617	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B618	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B619	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B620	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B621	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B622	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B623	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B624	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B625	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B626	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B627	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B631	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B633	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B634	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B635	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B636	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B638	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B639	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B640	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B641	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B642	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B643	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B644	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B645	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B646	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B647	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B648	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B649	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B650	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B651	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B652	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B653	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B654	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B655	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B656	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B657	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B658	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B662	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B664	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B665	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B666	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B668	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B674	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B676	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B677	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B678	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B680	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B683	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B684	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B685	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B686	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B687	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B693	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B694	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B695	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B696	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B697	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B699	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6A0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B6A1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6A3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B6A4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6A6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6A7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6A9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6B9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6C1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6C2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6C4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6C7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B6C9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
